Date,Open,High,Low,Close,Adj Close,Volume
2021-07-08,232.949997,233.830002,231.940002,232.839996,220.262253,1932600
2021-07-09,234.070007,236.229996,233.059998,235.679993,222.948837,2560500
2021-07-12,234.589996,236.240005,234.500000,235.610001,222.882599,2158600
2021-07-13,235.660004,237.470001,235.199997,236.169998,223.412369,1884600
2021-07-14,237.029999,239.050003,236.639999,237.130005,224.320526,1993200
2021-07-15,236.589996,237.389999,234.919998,236.880005,224.084030,2165800
2021-07-16,237.789993,237.880005,234.380005,234.750000,222.069077,1680900
2021-07-19,232.509995,233.320007,226.419998,229.259995,216.875626,3774900
2021-07-20,230.649994,235.520004,230.210007,234.270004,221.615021,3275600
2021-07-21,235.979996,238.110001,235.220001,235.929993,223.185333,2146600
2021-07-22,235.649994,239.690002,235.160004,238.669998,225.777328,2538300
2021-07-23,240.130005,245.050003,239.600006,242.960007,229.835587,3996400
2021-07-26,242.000000,244.570007,241.600006,243.979996,230.800476,2638400
2021-07-27,244.169998,247.050003,244.059998,246.350006,233.042465,3135200
2021-07-28,242.500000,243.800003,239.350006,241.779999,228.719345,4948500
2021-07-29,243.320007,245.199997,242.979996,244.020004,230.838318,2572300
2021-07-30,243.850006,245.410004,242.210007,242.710007,229.599106,2336800
2021-08-02,244.240005,244.679993,239.690002,240.100006,227.130066,2693900
2021-08-03,239.559998,239.949997,235.250000,236.949997,224.150223,3300000
2021-08-04,236.449997,236.600006,233.050003,234.830002,222.144745,2240600
2021-08-05,235.740005,236.809998,234.339996,236.419998,223.648880,2230500
2021-08-06,236.679993,237.139999,235.669998,236.259995,223.497498,1558600
2021-08-09,235.789993,236.070007,234.029999,234.679993,222.002838,2093100
2021-08-10,235.100006,235.100006,233.240005,233.449997,220.839279,2027500
2021-08-11,234.190002,235.940002,233.750000,235.550003,222.825851,1969100
2021-08-12,236.000000,236.759995,235.050003,236.669998,223.885361,1490800
2021-08-13,236.789993,239.000000,236.270004,238.820007,225.919220,1699700
2021-08-16,239.000000,241.050003,238.559998,240.970001,227.953079,2175300
2021-08-17,240.350006,240.839996,238.210007,240.279999,227.300385,1652000
2021-08-18,239.440002,239.759995,237.779999,238.080002,225.219208,2215500
2021-08-19,236.679993,238.119995,236.070007,237.229996,224.415131,1455400
2021-08-20,236.960007,239.389999,236.320007,238.490005,225.607040,1989700
2021-08-23,239.460007,240.070007,237.990005,239.660004,226.713837,2086900
2021-08-24,240.389999,240.389999,238.320007,238.429993,225.550278,1687700
2021-08-25,237.929993,239.600006,237.839996,238.830002,225.928680,1668000
2021-08-26,238.789993,238.919998,235.919998,236.949997,224.150223,2008000
2021-08-27,237.429993,238.369995,236.369995,237.479996,224.651596,1784000
2021-08-30,237.339996,237.759995,235.860001,236.589996,223.809662,2245600
2021-08-31,235.750000,237.729996,234.669998,237.460007,225.864212,2938100
2021-09-01,237.880005,239.039993,237.210007,238.149994,226.520508,2197100
2021-09-02,239.199997,239.949997,238.380005,239.869995,228.156494,2140200
2021-09-03,238.389999,239.649994,237.509995,238.820007,227.157791,1339300
2021-09-07,238.610001,238.610001,235.949997,236.190002,224.656219,1820000
2021-09-08,236.800003,239.460007,236.000000,238.619995,226.967575,2718400
2021-09-09,238.419998,241.429993,237.770004,238.610001,226.958038,2992200
2021-09-10,240.320007,241.320007,239.039993,239.179993,227.500198,2035200
2021-09-13,240.830002,241.800003,239.839996,241.210007,229.431061,2294800
2021-09-14,241.729996,242.250000,239.500000,241.130005,229.354980,2013800
2021-09-15,240.470001,241.270004,238.179993,240.979996,229.212311,2507200
2021-09-16,240.289993,243.589996,239.949997,243.210007,231.333374,3410700
2021-09-17,243.839996,244.630005,241.880005,242.490005,230.648560,4756600
2021-09-20,239.880005,241.960007,236.639999,239.089996,227.414612,4549900
2021-09-21,240.000000,242.350006,239.399994,240.500000,228.755753,2008300
2021-09-22,241.800003,245.860001,241.470001,243.130005,231.257324,3361900
2021-09-23,243.740005,245.949997,243.529999,244.779999,232.826752,2941700
2021-09-24,246.639999,247.380005,245.240005,246.419998,234.386658,2508800
2021-09-27,246.000000,248.899994,245.279999,248.110001,235.994141,2463300
2021-09-28,247.289993,247.710007,242.910004,243.770004,231.866074,3007500
2021-09-29,244.380005,245.710007,243.149994,244.279999,232.351151,1719000
2021-09-30,244.770004,245.419998,240.820007,241.110001,229.335968,3136800
2021-10-01,243.070007,244.690002,240.250000,242.929993,231.067062,2076000
2021-10-04,242.059998,244.809998,241.860001,243.080002,231.209763,2236500
2021-10-05,243.970001,246.880005,243.009995,245.220001,233.245255,2463100
2021-10-06,244.559998,247.160004,243.020004,247.100006,235.033478,2107900
2021-10-07,248.000000,249.949997,247.679993,248.320007,236.193863,2423900
2021-10-08,249.250000,249.630005,247.110001,247.699997,235.604141,1687500
2021-10-11,248.100006,249.139999,246.449997,246.580002,234.538864,1504000
2021-10-12,247.729996,248.600006,244.179993,244.520004,232.579453,2346700
2021-10-13,243.270004,243.869995,239.899994,242.649994,230.800751,3214300
2021-10-14,242.880005,245.419998,242.039993,244.550003,232.607986,2512000
2021-10-15,245.240005,246.380005,241.990005,242.250000,230.420288,2564700
2021-10-18,242.419998,243.449997,241.130005,242.259995,230.429794,2484900
2021-10-19,243.220001,243.929993,241.529999,242.770004,230.914902,2071600
